PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   27.7  24216  -58.7  -89.7      1   0.00     94     18  597.5  597.5  597.5
   27.0  24384  -59.0  -89.8      1   0.00     75     19  601.3  601.3  601.3
   25.7  24689  -59.5  -90.1      1   0.00     45     17  608.2  608.2  608.2
   23.3  25298  -60.6  -90.7      1   0.00     65     11  622.3  622.3  622.3
   23.1  25348  -60.7  -90.7      1   0.00     67     12  623.4  623.5  623.4
   22.0  25653  -58.9  -89.9      1   0.01     80     15  637.5  637.6  637.5
   21.1  25908  -59.3  -90.3      1   0.01     90     18  643.7  643.8  643.7
   20.8  26003  -59.5  -90.5      1   0.01     91     18  646.0  646.1  646.0
   20.0  26250  -56.5  -88.5      1   0.01     95     19  662.5  662.6  662.5
   19.6  26379  -55.1  -87.1      1   0.01    100     20  670.6  670.7  670.6
   19.2  26518  -55.2  -87.1      1   0.01    105     22  674.4  674.5  674.4
   18.3  26822  -55.6  -87.2      1   0.01     95     24  682.6  682.7  682.6
   17.4  27127  -55.9  -87.2      1   0.01    120     16  691.0  691.1  691.0
   16.6  27432  -56.2  -87.3      1   0.01    105     20  699.5  699.6  699.5
   16.4  27514  -56.3  -87.3      1   0.01    125     19  701.8  701.9  701.8
   15.8  27737  -55.5  -87.2      1   0.01    180     15  711.3  711.5  711.3
   15.1  28042  -54.5  -87.0      1   0.01    175     17  724.5  724.7  724.5
   14.7  28214  -53.9  -86.9      1   0.01    183     15  732.1  732.2  732.1
   14.4  28346  -54.3  -87.0      1   0.01    190     13  735.1  735.3  735.1
   13.8  28618  -55.1  -87.1      1   0.01    232     13  741.3  741.5  741.4
   13.5  28759  -53.7  -86.7      1   0.02    254     14  750.8  751.0  750.8
   13.1  28956  -54.0  -86.7      1   0.02    285     14  756.5  756.6  756.5
   12.5  29261  -54.4  -86.7      1   0.02    280     14  765.3  765.5  765.3
   12.1  29462  -54.7  -86.7      1   0.02    280     10  771.1  771.4  771.1
   11.4  29870  -53.7  -86.0      1   0.02    280      3  788.8  789.1  788.8
   10.8  30175  -53.0  -85.5      1   0.02    240     12  802.3  802.6  802.3
   10.3  30480  -52.2  -85.0      1   0.03    245     22  815.9  816.3  816.0
   10.0  30690  -51.7  -84.7      1   0.03    250     27  825.5  825.9  825.5
    9.9  30785  -51.5  -84.6      1   0.03    255     33  829.7  830.1  829.7
    9.0  31394  -50.1  -83.8      1   0.04    250     22  857.5  858.0  857.5
    8.6  31699  -49.4  -83.4      1   0.04    260     33  871.7  872.3  871.7
