   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   47.2  21217  -62.9  -92.9      1   0.00     66     23  503.1  503.1  503.1
   46.3  21336  -63.0  -93.0      1   0.00     60     23  505.7  505.7  505.7
   44.1  21641  -63.1  -93.1      1   0.00     90     26  512.6  512.6  512.6
   43.8  21677  -63.1  -93.1      1   0.00     89     26  513.4  513.4  513.4
   42.0  21946  -60.9  -91.7      1   0.00     80     24  525.2  525.2  525.2
   40.0  22250  -58.4  -90.0      1   0.00     95     22  538.8  538.9  538.8
   39.1  22385  -57.3  -89.3      1   0.00     82     23  545.0  545.0  545.0
   38.1  22555  -56.8  -88.8      1   0.00     65     24  550.3  550.4  550.3
   36.3  22860  -56.0  -88.0      1   0.00     85     27  560.0  560.1  560.0
   34.4  23200  -55.1  -87.1      1   0.01     96     30  571.1  571.1  571.1
   33.0  23470  -56.4  -88.4      1   0.00    105     32  574.5  574.5  574.5
   32.9  23484  -56.5  -88.5      1   0.00    104     32  574.7  574.7  574.7
   30.0  24079  -56.0  -88.0      1   0.01     70     30  591.5  591.5  591.5
   30.0  24070  -56.1  -88.1      1   0.01     70     28  591.1  591.2  591.1
   29.3  24221  -55.3  -87.3      1   0.01     75     29  597.3  597.4  597.3
   28.6  24384  -55.5  -87.5      1   0.01     80     27  601.2  601.3  601.2
   25.9  24994  -56.1  -88.1      1   0.01    105     19  616.2  616.3  616.2
   25.8  25032  -56.1  -88.1      1   0.01    103     19  617.1  617.2  617.1
   24.8  25298  -53.0  -85.7      1   0.01     90     20  633.5  633.6  633.5
   24.4  25390  -51.9  -84.9      1   0.01     93     21  639.2  639.3  639.2
   23.6  25606  -52.5  -85.5      1   0.01    100     22  643.6  643.7  643.6
   23.6  25603  -52.5  -85.5      1   0.01    100     22  643.5  643.6  643.5
   22.5  25908  -50.5  -84.1      1   0.02     85     18  658.0  658.1  658.0
   21.8  26124  -49.1  -83.1      1   0.02    106     16  668.5  668.6  668.5
   21.5  26213  -49.1  -83.1      1   0.02    115     15  671.0  671.2  671.1
   20.5  26518  -49.1  -83.1      1   0.02     60     18  680.0  680.2  680.0
   20.0  26690  -49.1  -83.1      1   0.02     60     19  685.1  685.3  685.1
   19.6  26822  -48.8  -82.8      1   0.02     75     19  690.0  690.2  690.0
   19.2  26958  -48.5  -82.5      1   0.02     71     19  695.0  695.3  695.0
   17.9  27432  -49.7  -83.7      1   0.02     55     21  705.8  706.1  705.9
   17.4  27602  -50.1  -84.1      1   0.02     66     28  709.8  710.0  709.8
   17.1  27737  -49.1  -83.3      1   0.02     75     34  717.0  717.2  717.0
   16.3  28042  -47.0  -81.6      1   0.03     75     30  733.5  733.9  733.5
   15.5  28364  -44.7  -79.7      1   0.05     86     34  751.3  751.9  751.4
   14.8  28651  -44.1  -79.3      1   0.05     95     38  762.6  763.2  762.6
   14.2  28956  -43.4  -79.0      1   0.06     85     37  774.8  775.4  774.8
   13.6  29261  -42.8  -78.6      1   0.06    105     40  787.1  787.8  787.1
   13.1  29494  -42.3  -78.3      1   0.07    103     38  796.6  797.4  796.6
   12.7  29704  -39.3  -76.3      1   0.09    101     37  814.2  815.3  814.2
   12.3  29923  -38.1  -76.1      1   0.10    100     35  825.9  827.1  825.9
   11.3  30480  -38.8  -76.4      1   0.10     95     31  842.7  844.0  842.8
   10.8  30785  -39.2  -76.6      1   0.11     95     22  852.1  853.4  852.2
   10.4  31090  -39.6  -76.8      1   0.11     80     19  861.6  863.0  861.7
   10.0  31340  -39.9  -76.9      1   0.11     65     27  869.5  870.9  869.5
    9.5  31699  -40.9  -77.9      1   0.10     95     42  878.8  880.1  878.8

