 12Z 06 07 2017 , 243.29, 30.93
 00Z 07 07 2017 , 314.60, 24.91
 12Z 07 07 2017 , 20.11, 25.13
 00Z 08 07 2017 , 0.00, 17.87
 12Z 08 07 2017 , 292.61, 30.98
 00Z 09 07 2017 , 0.00, 20.85
 12Z 09 07 2017 , 533.79, 37.26
 18Z 09 07 2017 , 549.14, 35.50
 00Z 10 07 2017 , 677.26, 38.32
 12Z 10 07 2017 , 240.83, 40.37
 00Z 11 07 2017 , 389.10, 35.84
 12Z 11 07 2017 , 92.63, 38.08
 18Z 11 07 2017 , 244.73, 41.33
 00Z 12 07 2017 , 407.28, 41.84
 12Z 12 07 2017 , 921.28, 45.15
 00Z 13 07 2017 , 352.35, 38.07
 12Z 13 07 2017 , 857.00, 41.05
 00Z 14 07 2017 , 728.17, 38.36
 12Z 14 07 2017 , 141.30, 43.14
 18Z 14 07 2017 , 326.97, 38.47
 00Z 15 07 2017 , 566.73, 38.24
 12Z 15 07 2017 , 995.81, 45.19
 00Z 16 07 2017 , 435.86, 38.88
 12Z 16 07 2017 , 279.99, 41.80
 00Z 17 07 2017 , 797.87, 45.08
 12Z 17 07 2017 , 470.20, 46.69
 00Z 18 07 2017 , 872.75, 48.76
 12Z 18 07 2017 , 797.75, 48.56
 00Z 19 07 2017 , 821.61, 45.13
 12Z 19 07 2017 , 27.83, 45.75
 00Z 20 07 2017 , 711.89, 45.01
 12Z 20 07 2017 , 303.33, 44.54
 00Z 21 07 2017 , 660.98, 42.08
 12Z 21 07 2017 , 715.60, 47.15
 00Z 22 07 2017 , 406.72, 41.25
 12Z 22 07 2017 , 1251.45, 47.21
 00Z 23 07 2017 , 222.40, 43.10
 12Z 23 07 2017 , 574.41, 50.32
 00Z 24 07 2017 , 918.55, 53.49
 12Z 24 07 2017 , 815.58, 51.19
 00Z 25 07 2017 , 496.95, 48.80
 12Z 25 07 2017 , 1199.90, 46.33
 00Z 26 07 2017 , 601.83, 42.40
 12Z 26 07 2017 , 138.42, 40.32
 00Z 27 07 2017 , 766.35, 36.45
 12Z 27 07 2017 , 624.73, 41.65
 00Z 28 07 2017 , 236.80, 41.06
 12Z 28 07 2017 , 351.39, 44.03
 00Z 29 07 2017 , 412.63, 45.06
 12Z 29 07 2017 , 217.24, 44.51
 00Z 30 07 2017 , 1400.67, 48.44
 12Z 30 07 2017 , 1952.00, 52.04
 00Z 31 07 2017 , 1771.55, 48.13
 12Z 31 07 2017 , 817.82, 42.15
 00Z 01 08  2017 , 257.98, 38.31
 12Z 01 08 2017 , 50.02, 43.48
 18Z 01 08 2017 , 112.43, 44.03
 00Z 02 08 2017 , 178.42, 44.27
 12Z 02 08 2017 , 464.26, 47.69
 00Z 03 08 2017 , 613.86, 49.79
 12Z 03 08 2017 , 1353.20, 47.99
 00Z 04 08 2017 , 224.98, 41.57
 12Z 04 08 2017 , 833.28, 43.38
 00Z 05 08 2017 , 237.37, 33.98
 12Z 05 08 2017 , 775.73, 36.60
 00Z 06 08 2017 , 24.88, 26.01
 12Z 06 08 2017 , 22.45, 24.95
 00Z 07 08 2017 , 0.00, 18.31
 12Z 07 08 2017 , 0.00, 21.65
 00Z 08 08 2017 , 0.00, 21.26
 12Z 08 08 2017 , 0.00, 20.82
 00Z 09 08 2017 , 0.00, 27.45
 12Z 09 08 2017 , 0.00, 29.69
 00Z 10 08 2017 , 76.48, 32.44
